#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=1 (feed_offset=400) [Real Part]"
#-----------------------------------------------------------------------
-180.00000000000	-9.5212322552091
-179.00000000000	-11.719420822828
-178.00000000000	-20.656615042226
-177.00000000000	-22.455265236428
-176.00000000000	-18.599899885686
-175.00000000000	-23.221972837490
-174.00000000000	-33.396197574194
-173.00000000000	-31.346044839881
-172.00000000000	-33.659508399483
-171.00000000000	-24.476235609768
-170.00000000000	-23.920386495370
-169.00000000000	-28.412778483985
-168.00000000000	-29.536423074581
-167.00000000000	-32.459962382387
-166.00000000000	-37.423767588657
-165.00000000000	-26.979913217016
-164.00000000000	-25.777272904194
-163.00000000000	-27.188451747100
-162.00000000000	-28.235614751546
-161.00000000000	-33.191567924686
-160.00000000000	-40.147605899805
-159.00000000000	-30.082540037229
-158.00000000000	-29.980523025238
-157.00000000000	-30.876617548431
-156.00000000000	-28.389142606141
-155.00000000000	-29.236913764468
-154.00000000000	-35.323850182673
-153.00000000000	-34.109093349547
-152.00000000000	-31.246347430039
-151.00000000000	-30.832238275781
-150.00000000000	-28.831962447715
-149.00000000000	-27.821858276400
-148.00000000000	-29.001265751608
-147.00000000000	-30.196032569869
-146.00000000000	-29.947966416251
-145.00000000000	-30.417076116845
-144.00000000000	-30.316755892750
-143.00000000000	-28.680472032310
-142.00000000000	-28.177540357366
-141.00000000000	-29.240523203570
-140.00000000000	-29.702947491184
-139.00000000000	-28.390867646736
-138.00000000000	-27.322016217353
-137.00000000000	-26.976400517793
-136.00000000000	-27.008944245292
-135.00000000000	-27.414648448764
-134.00000000000	-28.053720127009
-133.00000000000	-27.907085061646
-132.00000000000	-26.666020666290
-131.00000000000	-25.476416024887
-130.00000000000	-24.870355573941
-129.00000000000	-24.612072906832
-128.00000000000	-24.327453870875
-127.00000000000	-23.954949726298
-126.00000000000	-23.634743092300
-125.00000000000	-23.341801688488
-124.00000000000	-22.877287662018
-123.00000000000	-22.167728216130
-122.00000000000	-21.385210758866
-121.00000000000	-20.740070098811
-120.00000000000	-20.314064416596
-119.00000000000	-20.050832311128
-118.00000000000	-19.805225925301
-117.00000000000	-19.420446552980
-116.00000000000	-18.828949886925
-115.00000000000	-18.085858150703
-114.00000000000	-17.300214507868
-113.00000000000	-16.550597788068
-112.00000000000	-15.858015879298
-111.00000000000	-15.202916076170
-110.00000000000	-14.553777145239
-109.00000000000	-13.891069453495
-108.00000000000	-13.214981131185
-107.00000000000	-12.538229005904
-106.00000000000	-11.875473151644
-105.00000000000	-11.237584414644
-104.00000000000	-10.633401361536
-103.00000000000	-10.074005655174
-102.00000000000	-9.5756635600779
-101.00000000000	-9.1591327118438
-100.00000000000	-8.8466261154479
-99.000000000000	-8.6593145515447
-98.000000000000	-8.6167234431468
-97.000000000000	-8.7379641430902
-96.000000000000	-9.0447876735641
-95.000000000000	-9.5653559417454
-94.000000000000	-10.337857019876
-93.000000000000	-11.414167084078
-92.000000000000	-12.861334014087
-91.000000000000	-14.751318203924
-90.000000000000	-17.087945056843
-89.000000000000	-19.469906843405
-88.000000000000	-20.506825817599
-87.000000000000	-19.491436542162
-86.000000000000	-17.896794423795
-85.000000000000	-16.694611057365
-84.000000000000	-16.074144874310
-83.000000000000	-16.027427402863
-82.000000000000	-16.538010119081
-81.000000000000	-17.630545660249
-80.000000000000	-19.415382095826
-79.000000000000	-22.204196283614
-78.000000000000	-26.939435815979
-77.000000000000	-37.367670353625
-76.000000000000	-30.664937308312
-75.000000000000	-24.203280789738
-74.000000000000	-21.033246128505
-73.000000000000	-19.509615826084
-72.000000000000	-19.281720356215
-71.000000000000	-20.461944698166
-70.000000000000	-23.750710000072
-69.000000000000	-32.069407257702
-68.000000000000	-29.749087175444
-67.000000000000	-22.405951677501
-66.000000000000	-19.379495739580
-65.000000000000	-18.549126856735
-64.000000000000	-19.626357998066
-63.000000000000	-23.244978239068
-62.000000000000	-30.676160011497
