#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=1.5 (feed_offset=400) [Real Part]"
#-------------------------------------------------------------------------
-180.00000000000	-9.7212877682682
-179.00000000000	-13.828747648589
-178.00000000000	-20.192605226629
-177.00000000000	-18.002981881133
-176.00000000000	-17.560292980883
-175.00000000000	-19.025947991134
-174.00000000000	-24.048957274970
-173.00000000000	-20.824734421091
-172.00000000000	-18.076827356604
-171.00000000000	-19.865554595376
-170.00000000000	-24.977685976829
-169.00000000000	-22.743142975866
-168.00000000000	-19.605681154931
-167.00000000000	-20.474909611314
-166.00000000000	-23.424725220866
-165.00000000000	-22.291645991477
-164.00000000000	-20.173975018250
-163.00000000000	-21.673456512763
-162.00000000000	-24.692550200887
-161.00000000000	-28.324571589883
-160.00000000000	-26.492738038479
-159.00000000000	-24.517051358186
-158.00000000000	-23.871911360221
-157.00000000000	-27.124534976479
-156.00000000000	-31.443740571805
-155.00000000000	-27.239640610259
-154.00000000000	-24.100113352978
-153.00000000000	-24.490224705240
-152.00000000000	-27.229934109314
-151.00000000000	-32.473455912757
-150.00000000000	-32.438912300189
-149.00000000000	-28.069751024271
-148.00000000000	-25.753738941107
-147.00000000000	-25.218902208793
-146.00000000000	-28.405509417219
-145.00000000000	-38.542087091837
-144.00000000000	-36.141868838118
-143.00000000000	-30.214858994855
-142.00000000000	-27.355631355352
-141.00000000000	-26.453913619488
-140.00000000000	-28.936529276197
-139.00000000000	-34.011437626333
-138.00000000000	-34.093164258978
-137.00000000000	-35.605071204781
-136.00000000000	-32.742742050397
-135.00000000000	-30.358651770842
-134.00000000000	-28.034144194291
-133.00000000000	-25.312607045773
-132.00000000000	-25.082409438576
-131.00000000000	-27.523112452707
-130.00000000000	-29.246586765218
-129.00000000000	-27.974732027728
-128.00000000000	-27.743415270397
-127.00000000000	-28.960602442112
-126.00000000000	-28.963179178710
-125.00000000000	-26.128710861339
-124.00000000000	-24.021934648777
-123.00000000000	-23.715632106611
-122.00000000000	-24.192901290769
-121.00000000000	-23.304388489123
-120.00000000000	-21.728777530475
-119.00000000000	-21.110699374365
-118.00000000000	-21.195229705507
-117.00000000000	-20.537535167428
-116.00000000000	-19.010739073975
-115.00000000000	-17.865385832671
-114.00000000000	-17.458164832071
-113.00000000000	-17.245936621604
-112.00000000000	-16.556691691274
-111.00000000000	-15.556854049600
-110.00000000000	-14.798469333915
-109.00000000000	-14.410096160533
-108.00000000000	-14.147536539672
-107.00000000000	-13.787790134095
-106.00000000000	-13.410507822391
-105.00000000000	-13.224057965837
-104.00000000000	-13.296016723653
-103.00000000000	-13.532148499944
-102.00000000000	-13.821156605304
-101.00000000000	-14.166337461636
-100.00000000000	-14.652862772889
-99.000000000000	-15.328211253006
-98.000000000000	-16.151692700649
-97.000000000000	-17.050972631342
-96.000000000000	-18.041459679346
-95.000000000000	-19.328686909712
-94.000000000000	-21.356452964831
-93.000000000000	-24.896969983691
-92.000000000000	-30.289832932985
-91.000000000000	-27.853169270032
-90.000000000000	-23.131947879438
-89.000000000000	-20.822378563332
-88.000000000000	-20.291707641020
-87.000000000000	-21.355282885864
-86.000000000000	-24.326209388429
-85.000000000000	-29.933357609078
-84.000000000000	-30.490853883211
-83.000000000000	-25.678997513897
-82.000000000000	-23.889637549744
-81.000000000000	-24.952336601161
-80.000000000000	-30.341837080831
-79.000000000000	-36.735005005882
-78.000000000000	-25.894474901284
-77.000000000000	-22.420036325287
-76.000000000000	-22.232012810442
-75.000000000000	-25.304462426234
-74.000000000000	-35.267737466449
-73.000000000000	-30.036475117582
-72.000000000000	-24.645300354108
-71.000000000000	-23.957309126911
-70.000000000000	-26.500043352990
-69.000000000000	-32.111586470984
-68.000000000000	-34.116146166536
-67.000000000000	-33.432455530617
-66.000000000000	-33.186029827349
-65.000000000000	-28.816906340096
-64.000000000000	-26.815999016444
-63.000000000000	-29.345592511783
-62.000000000000	-37.920191444817
-61.000000000000	-27.393978175585
-60.000000000000	-23.681188544659
-59.000000000000	-24.366233635087
-58.000000000000	-28.970491019554
-57.000000000000	-30.174849920085
-56.000000000000	-27.270311253646
-55.000000000000	-26.668493283819
-54.000000000000	-24.388292912316
-53.000000000000	-23.242325950385
-52.000000000000	-25.802492416437
-51.000000000000	-22.183407830692
-50.000000000000	-17.430582095506
